the,405
of,194
to,176
is,154
a,121
and,115
"",113
data,98
in,87
that,82
learning,66
this,65
be,59
can,52
are,50
as,50
algorithms,49
for,35
used,35
function,34
on,34
it,32
machine,30
one,29
by,29
with,28
or,27
algorithm,25
such,23
techniques,22
these,22
more,21
which,21
different,20
have,20
based,20
analytics,20
training,19
an,18
using,16
set,16
regression,16
not,16
find,15
often,15
supervised,15
neural,15
output,15
from,14
data.,14
some,14
into,14
another,14
analysis,14
possible,14
being,14
points,13
labeled,13
two,13
has,13
students,13
than,13
also,12
deep,12
each,12
tries,12
semi-supervised,12
then,12
try,12
help,12
what,12
probability,11
course,11
determine,11
value,11
linear,11
at,11
unsupervised,11
classification,11
specific,11
make,11
unlabeled,11
collected,11
been,10
algorithm.,10
its,10
within,10
hypothesis,10
features,10
discussed,10
•,10
all,10
decision,10
group,10
dataset,10
rather,10
vector,10
their,10
types,9
popular,9
